Stratno | Stratigraphic Name | Entity Number | Province Name 
12816|Mount Ida Granite|467256|Arunta Orogen
12822|Mount Isa Group|556523|Mount Isa Orogen
41995|Mount Laughlen Quartzite|467256|Arunta Orogen
12886|Mount Les Siltstone|556523|Mount Isa Orogen
13010|Mount Parker Sandstone|467202|Osmond Basin
13012|Mount Partridge Group|40011|Mount Todd Gold Metallogenic Province
13012|Mount Partridge Group|512263|Pine Creek Orogen
27050|Mount Porter Granite|467256|Arunta Orogen
13064|Mount Rigg Group|512264|McArthur Basin
13087|Mount Sanford Formation|467208|Birrindudu Basin
27067|Mount Shepherd Rhyolite Member|512263|Pine Creek Orogen
13103|Mount Smith Metamorphics|467256|Arunta Orogen
13106|Mount Stafford Granite|467256|Arunta Orogen
72421|Mount Stafford Member|42177|Mount Stafford Nickel (prospective) Metallogenic Province
72421|Mount Stafford Member|364771|Aileron Province
72421|Mount Stafford Member|467256|Arunta Orogen
40026|Mount Stafford dolerite|42177|Mount Stafford Nickel (prospective) Metallogenic Province
13125|Mount Swan Granite|467256|Arunta Orogen
28815|Mount Thomas Quartzite|364771|Aileron Province
28815|Mount Thomas Quartzite|467256|Arunta Orogen
23837|Mount Tietkens Granite Complex|467256|Arunta Orogen
13203|Mount Webb Granite|467256|Arunta Orogen
31336|Mount Webb Suite|467256|Arunta Orogen
72667|Mount Winnecke Formation - felsic volcanic facies|467226|Tanami Orogen
29774|Mount Zeil Granite|467256|Arunta Orogen
31337|Mount Zeil Suite|467256|Arunta Orogen
13301|Mud Tank Carbonatite|467256|Arunta Orogen
39323|Mulga Creek Granitic Gneiss|22078|Amadeus Basin
39323|Mulga Creek Granitic Gneiss|467256|Arunta Orogen
13380|Mullaman beds|550572|Carpentaria Basin
33652|Mulyati Granite|22078|Amadeus Basin
13494|Munyu Sandstone|467255|Murraba Basin
13518|Muriel Range Sandstone|467255|Murraba Basin
13528|Murphy Metamorphics|556523|Mount Isa Orogen
26787|Murra-Kamangee Granodiorite|512263|Pine Creek Orogen
13529|Murraba Formation|467255|Murraba Basin
24412|Murrenja Dolerite|512263|Pine Creek Orogen
13596|Musgrave Complex|467262|Musgrave Province
31843|Mutitjulu Arkose|22078|Amadeus Basin
13635|Myally Subgroup|556523|Mount Isa Orogen
13635|Myally Subgroup|559201|Mount Oxide Domain
13635|Myally Subgroup|559205|Sybella Domain
13665|N'Dahla Member|22078|Amadeus Basin
13676|Naburula Formation|22113|Ngalia Basin
24417|Namatjira Formation|22078|Amadeus Basin
38414|Namerinni Group|468043|Tomkinson Province
13724|Namoona Group|512263|Pine Creek Orogen
27856|Nanambu Complex|512263|Pine Creek Orogen
72291|Naningbura Dolomite|359040|Arafura Basin
41156|Nanny Goat Volcanics|467226|Tanami Orogen
13823|Nappamerri Group|529511|Cooper Basin
27091|Napperby Gneiss|467256|Arunta Orogen
30862|Napperby Suite|467256|Arunta Orogen
25329|Narbib Granulite|467256|Arunta Orogen
13859|Naringa Calcareous Member|467256|Arunta Orogen
37962|Narpa Group|529556|Georgina Basin
29528|Narwietooma Metamorphic Complex|42155|Narwietooma Nickel (prospective) Metallogenic Province
