Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
15573|Prices Creek Group|36225|6|Mentioned|Map legend|Ordovician|Ordovician||||||
15573|Prices Creek Group|36890|6|Mentioned|p321||||||||
15573|Prices Creek Group|38878|6|Mentioned|Map legend|Early Ordovician|Early Ordovician||||||
15573|Prices Creek Group|40136|5|Briefly described|p37||||||||
15573|Prices Creek Group|40810|5|Briefly described|p14||||||||
15573|Prices Creek Group|41854|6|Mentioned|p94||||||||
15573|Prices Creek Group|41894|6|Mentioned|p2||||||||
15573|Prices Creek Group|43563|6|Mentioned|p4|Early Ordovician|Early Ordovician|(E.Ord-M.Ord)|||||
15573|Prices Creek Group|43803|6|Mentioned|p65||Ordovician||||||
15573|Prices Creek Group|43818|6|Mentioned|Fig.2.p39||Early Ordovician||||||
15573|Prices Creek Group|43819|6|Mentioned|p31||Arenig||||||
15573|Prices Creek Group|43876|14|Not recorded|p553||Ordian||||||
15573|Prices Creek Group|44143|6|Mentioned|p.426, p441 Tb. 4-19|Ordovician|Ordovician|Lennard Shelf. Includes Gap Creek and Emanuel Formations. Shallow marine carbonates and siliciclastics. Correlated with Nambeet and Willara Formations.|||||
15573|Prices Creek Group|44309|14|Not recorded|p12|||Fauna correlated with Coolibah Formation.|||||
15573|Prices Creek Group|44397|14|Not recorded|p.12||||||||
15573|Prices Creek Group|44403|6|Mentioned|p.8||Ordovician||||||
15573|Prices Creek Group|44404|14|Not recorded|map legend||Ordovician||||||
15573|Prices Creek Group|44998|2|Defined|p18, map.||||||||
15573|Prices Creek Group|45153|6|Mentioned|App.1-14||||||||
15573|Prices Creek Group|45158|3|Fully described|p28||||||||
15573|Prices Creek Group|48826|14|Not recorded|Tb.III||||||||
15573|Prices Creek Group|48874|14|Not recorded|p.3||||||||
15573|Prices Creek Group|63938|4|Described|p48, p52 Fig.4|Middle Ordovician|Early Ordovician|Unconformably overlain by Cadjebut Formation in the Emanuel Range.|||||
15573|Prices Creek Group|64502|5|Briefly described|p765 Fig.2, p768 Fig.5|Ordovician|||||||
15573|Prices Creek Group|64580|4|Described|map legend|Middle Ordovician|Early Ordovician|Siltstone, shale, limestone, and dolomitic sandstone; includes KUNIAN SANDSTONE, KUDATA DOLOMITE, EMANUEL and GAP CREEK FORMATIONS.|||||
15573|Prices Creek Group|64643|4|Described|p3 Fig. 2, p33, 37|Middle Ordovician|Lower Ordovician||||||
15573|Prices Creek Group|65301|5|Briefly described|p5 Fig. 4|Middle Ordovician|Early Ordovician|Geological province: Canning Basin.|||||
15573|Prices Creek Group|65486|5|Briefly described|p6-7,9,17; Figs.5,67,19; Plate 1.|Ordovician|Ordovician|Dolomite, shale, and siltstone, Canning Basin. Unconformably underlies Pillara Limestone, Cadjebut Formation, Carolyn Formation (Grant Group).|||||
15573|Prices Creek Group|66127|5|Briefly described|pp19-21, p24, p68, Plates 4,5,7,8.|Middle Ordovician|Early Ordovician|Unconformably overlies Proterozoic rocks.|||Includes Emanuel and Gap Creek Formations.|Unconformably underlies Cadjebut Formation.|Dolomite, shale and siltstone.
15573|Prices Creek Group|69099|4|Described|500k_geologyp08_lut.csv|Middle Ordovician|Early Ordovician||||Includes Kunian Sandstone, Kudata Dolomite, Emanuel and Gap Creek Formations||siltstone, shale, limestone, and dolomitic sandstone
15576|Prices Springs Granite|24197|5|Briefly described|p106 Tb. 15.1|Paleoproterozoic|Paleoproterozoic|Of the Cullen Supersuite. Age: ~1825Ma. Geological Province: Pine Creek Inlier.|||||
15576|Prices Springs Granite|24260|6|Mentioned|p1013 Fig.1|||Geological Province: Pine Creek Inlier.|||||
15576|Prices Springs Granite|31435|6|Mentioned|p61||||||||
15576|Prices Springs Granite|35140|6|Mentioned|p321||||||||
15576|Prices Springs Granite|39679|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic||||||
15576|Prices Springs Granite|40168|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Pink-green or grey coarse equigranular to porphyritic granite.|||||
15576|Prices Springs Granite|40223|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Coarse even-grained to porphyritic granite.|||||
15576|Prices Springs Granite|40957|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic||||||
15576|Prices Springs Granite|41309|4|Described|p9||||||||
15576|Prices Springs Granite|41311|6|Mentioned|p17||||||||
15576|Prices Springs Granite|41465|6|Mentioned|p8||||||||
15576|Prices Springs Granite|42756|6|Mentioned|Fig.5 P6||||||||
15576|Prices Springs Granite|42927|5|Briefly described|p428|||see also Fig.2 p430.|||||
15576|Prices Springs Granite|43140|3|Fully described|p37||Paleoproterozoic|Of the Cullen Batholith. U-Pb age 1780 Ma.|||||
15576|Prices Springs Granite|43624|6|Mentioned|p14||||||||
15576|Prices Springs Granite|43832|4|Described|41,46,49,53,55,65||Paleoproterozoic|Age 1804+-50 Ma; less accurate 1780-1790 Ma (p53).|||||
15576|Prices Springs Granite|45003|14|Not recorded|p52||||||||
15576|Prices Springs Granite|45022|3|Fully described|p.140.||Carpentarian|On many pages. Pet Desc.on Tech.File D/52-8|||||
15576|Prices Springs Granite|46658|6|Mentioned|p559||||||||
15576|Prices Springs Granite|46676|14|Not recorded|p.9||||||||
15576|Prices Springs Granite|50586|5|Briefly described|p1.1, 4.1, Table 1.1|Paleoproterozoic|Paleoproterozoic|Geological Province: Pine Creek Inlier. Of the Cullen Supersuite. Age: 1804 +/- 50Ma (U-Pb).|||||
15576|Prices Springs Granite|64698|4|Described|lithinterp table|Orosirian|Orosirian|Age ~1820-1850Ma. Of Cullen Supersuite.  I-type. Coarse biotite-hornblende granite, fine biotite granite. Intrudes South Alligator Group, Burrell Creek Formation.|||||
15576|Prices Springs Granite|67564|6|Mentioned|p33 Fig.19.|Paleoproterozoic|Paleoproterozoic|Pluton within Cullen Batholith, Pine Creek Orogen.|||||
15604|Prion Formation|5952|5|Briefly described|p214 Fig. 4, p215 Fig. 5, p228|Eocene|Eocene|Pattillo and Nicholls (1990). In figure, Fm = Formation. Geological Province: Bonaparte Basin.|||||
15604|Prion Formation|7142|6|Mentioned|p350 Fig.4.|Neogene|Paleogene|Browse Basin.||||Overlies Bassett Formation. Is overlain by Cartier Formation.|
15604|Prion Formation|13353|6|Mentioned|p401 Fig.2.|Paleogene|Paleogene|||||Overlies Bassett Formation. Is overlain by Cartier Formation.|
15604|Prion Formation|22663|5|Briefly described|AC97 1-4 Fig.4|Oligocene|Eocene|Of the Woodbine Group.|||||
15604|Prion Formation|23378|6|Mentioned|p180 Fig.2||Eocene|Of the Woodbine Group. In the Vulcan Sub-basin.|||||
15604|Prion Formation|24171|5|Briefly described|p722 Fig. 3|Tertiary|Tertiary|Geological Province : Vulcan Sub-Basin.|||||
15604|Prion Formation|24218|5|Briefly described|p850|Eocene|Eocene|Geological Province: Bonaparte Basin.|||||
15604|Prion Formation|42053|5|Briefly described|Fig.2 P29||||||||
15604|Prion Formation|42066|5|Briefly described|Fig.3 P199||||||||
15604|Prion Formation|60634|6|Mentioned|p1168 Fig.3. |Oligocene|Eocene|||Unit in Woodbine Group.||Overlies Hibernia Formation. Is overlain by Oliver Formation.|
15604|Prion Formation|61548|6|Mentioned|p480 Fig.3|Eocene|Eocene|Northern Bonaparte Basin.|||||
15604|Prion Formation|61550|6|Mentioned|p495 Fig.2. |Eocene|Eocene|||Unit in Woodbine Group.||Overlies Hibernia Formation.|
15604|Prion Formation|62837|5|Briefly described|Stratigraphic columns|Oligocene|Eocene|Age: ~41-~33Ma. Geological Province: Western Bonaparte Basin and Northern Bonaparte Basin.|||||
15604|Prion Formation|63358|5|Briefly described|p4 Fig. 1.3|Oligocene|Eocene||||||
15604|Prion Formation|66187|5|Briefly described|p413 Fig.2|Eocene||Unit in the Woodbine Group. Underlies the Oliver Formation unconformably; overlies the Hibernia Formation. Mount Ashmore Dome.|||||
15646|Puffin Formation|5952|5|Briefly described|p215 Fig. 5, p223|Late Cretaceous|Late Cretaceous|Appears as Puffin in figure. Geological Province: Bonaparte Basin.|||||
15646|Puffin Formation|7142|6|Mentioned|p350 Fig.4.|Late Cretaceous|Late Cretaceous|Browse Basin.||||Is overlain by Bassett Formation.|
15646|Puffin Formation|13194|4|Described|p383 Tb. 4-16, p396 fig 4-60|Cretaceous|Cretaceous|Type section Grebe 1 well (2098-2630m). Up to 570m thick. Oil reservoir on Ashmore Platform.||Bathurst Island Group||Overlies Vee Formation (conformably but diachronous). Grades into Turnstone Formation and Brown Gannet Limestone.|Sandstone interbedded with lesser shale and marl. Petroleum.
15646|Puffin Formation|13353|6|Mentioned|p401 Fig.2.|Late Cretaceous|Late Cretaceous|||||Is overlain by Bassett Formation.|
15646|Puffin Formation|22663|5|Briefly described|AC97 1-4 Fig.4||Late Cretaceous|Of the Bathurst Island Group.|||||
15646|Puffin Formation|23377|6|Mentioned|p211|||In the Vulcan Sub-basin.|||||
