Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
31872|Tarcunyah Group|overlies|34951|Bangemall Supergroup|unconformity|
20715|Wyloo Group|underlies|34951|Bangemall Supergroup|unconformity|
20428|Wondoan Hill Formation|overlies|25774|Banyan Formation|unconformity|
25997|Liveringa Group|underlies|1088|Barbwire Sandstone|unconformity|
27680|Poole Sandstone|underlies|1088|Barbwire Sandstone|disconformity|
23541|Delambre Formation|overlies|23359|Bare Formation|not specified|
18563|Trealla Limestone|underlies|23359|Bare Formation|not specified|
40331|Iowa Eastern Member|overlies|37722|Barimunya Member|not specified|
37721|Munjina Member|underlies|37722|Barimunya Member|not specified|
74626|Church Hill Sand|overlies|74625|Barn Hill Formation|not specified|Sharp or gradational contact
23841|Mowanjum Sand|underlies|74625|Barn Hill Formation|not specified|Sharp contact
22841|Shoonta Hill Sand|overlies|74625|Barn Hill Formation|not specified|Local contact, sharp or gradational
14550|Oliver Formation|underlies|1156|Barracouta Formation|unconformity|
14360|Nullara Limestone|is interbedded with|30675|Barramundi Conglomerate||
26102|Piker Hills Formation|grades into|30675|Barramundi Conglomerate||Laterally
5507|Dingo Claystone|underlies|1209|Barrow Group|not specified|
25888|Dupuy Formation|underlies|1209|Barrow Group|conformity|
7072|Gearle Siltstone|overlies|1209|Barrow Group||
11278|Mardie Greensand Member|overlies|1209|Barrow Group|unconformity|
13315|Muderong Shale|overlies|1209|Barrow Group|not specified|
27828|Maraloou Formation|is interbedded with|29872|Bartle Member||
27828|Maraloou Formation|overlies|29872|Bartle Member||
693|Ascot Formation|underlies|25776|Bassendean Sand|not specified|
7854|Guildford Formation|underlies|25776|Bassendean Sand|not specified|
1735|Birrindudu Group|is equivalent to|1242|Bastion Group||
3663|Carr Boyd Group|overlies|1242|Bastion Group|unconformity|
9572|Kimberley Group|underlies|1242|Bastion Group|unconformity|
6726|Flamingo Group|underlies|1249|Bathurst Island Group|unconformity|
20481|Woodbine Group|overlies|1249|Bathurst Island Group||
20428|Wondoan Hill Formation|overlies|1264|Battle Creek Formation|unconformity|
31773|Tching Granite|overlies|31774|Bearra Gneiss|not specified|
3941|Cheela Springs Basalt|overlies|25778|Beasley River Quartzite|conformity|
22076|Kazput Formation|underlies|25778|Beasley River Quartzite|unconformity|
12546|Mount Bruce Supergroup|underlies|25778|Beasley River Quartzite|not specified|
14385|Nummana Member|overlies|25778|Beasley River Quartzite|not specified|
18702|Turee Creek Group|underlies|25778|Beasley River Quartzite|unconformity|
30235|Heines Member|is equivalent to|30234|Beatty Park Member||
25983|Labouchere Formation|underlies|30234|Beatty Park Member|conformity|
13894|Narracoota Formation|is faulted against|30234|Beatty Park Member||
16192|Robinson Range Formation|overlies|30234|Beatty Park Member|conformity|and gradationally
2550|Bridport Calcilutite|underlies|28358|Becher Sand|conformity|
16508|Safety Bay Sand|overlies|28358|Becher Sand|not specified|
76051|Emu Point Member|overlies|26376|Bedford Sandstone|unconformity|
10863|Luman Siltstone|underlies|26376|Bedford Sandstone||
27207|Mount Sylvia Formation|overlies|29989|Bee Gorge Member|disconformity|
29988|Paraburdoo Member|underlies|29989|Bee Gorge Member|not specified|
7072|Gearle Siltstone|overlies|1384|Beedagong Claystone|disconformity|
18394|Toolonga Calcilutite|underlies|1384|Beedagong Claystone|not specified|
3723|Carynginia Formation|underlies|30579|Beekeeper Formation|disconformity|
38357|Hovea Member|overlies|30579|Beekeeper Formation|not specified|
9696|Kockatea Shale|overlies|30579|Beekeeper Formation|conformity|
78594|Ravensthorpe Suite|is intruded by|78593|Beenong Dyke Suite||
27212|Napier Formation|overlies|28360|Behn Conglomerate||grades up into Napier Fm
25744|Pillara Limestone|is interbedded with|28360|Behn Conglomerate||
27874|Paterson Formation|underlies|1401|Bejah Claystone|disconformity|
16579|Samuel Formation|underlies|1401|Bejah Claystone|conformity|
28108|Lalla Rookh Sandstone|underlies|23372|Bellary Formation|unconformity|Underlies Bellary Fm. in some places.
27847|Mount Roe Basalt|overlies|23372|Bellary Formation|not specified|
29906|Birksgate Complex|underlies|1491|Bentley Supergroup|unconformity|
18269|Tollu Group|is equivalent to|1491|Bentley Supergroup||
18515|Townsend Quartzite|overlies|1491|Bentley Supergroup|not specified|
33276|Camel Hills Metamorphics|is intruded by|38576|Bertibubba Supersuite||
33855|Yarlarweelor Gneiss Complex|is intruded by|38576|Bertibubba Supersuite||
5168|Dampier Limestone|underlies|1572|Bibra Limestone|not specified|
34906|Edmund Group|overlies|74796|Biddenew Formation||
