Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
2891|Bulldog Shale|overlies|3284|Cadna-owie Formation|not specified|
5593|Doncaster Member|overlies|3284|Cadna-owie Formation|disconformity|
8476|Hooray Sandstone|underlies|3284|Cadna-owie Formation|not specified|
13577|Murta Formation|underlies|3284|Cadna-owie Formation|conformity|
13738|Namur Sandstone|underlies|3284|Cadna-owie Formation||
14854|Parabarana Sandstone|is equivalent to|3284|Cadna-owie Formation||time-equivalent
19323|Wallumbilla Formation|overlies|3284|Cadna-owie Formation|disconformity|
26871|Ripley Road Sandstone|underlies|24205|Calamia Member|conformity|
27363|Carmila beds|underlies|3318|Calen Coal Measures|not specified|
4352|Collinsville Coal Measures|is equivalent to|3318|Calen Coal Measures||
23892|Paning Member|overlies|31781|Callamurra Member|not specified|
18357|Toolachee Formation|underlies|31781|Callamurra Member|not specified|
24109|Wimma Sandstone Member|overlies|31781|Callamurra Member|not specified|
15540|Precipice Sandstone|overlies|3346|Callide Coal Measures|not specified|
1388|Beeswing Rhyolite|underlies|3366|Cambalanga Tuff Member|disconformity|
27076|Buffel Formation|overlies|3378|Camboon Volcanics|unconformity|
35006|Torsdale Volcanics|underlies|3378|Camboon Volcanics|not specified|
3855|Cedarton Volcanics|is equivalent to|31368|Cambroon beds||
632|Arrinthrunga Formation|overlies|68909|Camooweal Dolostone|conformity|
2718|Brunette Limestone|overlies|68909|Camooweal Dolostone||
73792|Broadsound Range Volcanics|is intruded by|33146|Camp Creek Granite||
35011|Leura Volcanics|overlies|33146|Camp Creek Granite|not specified|
36156|Balfes Creek beds|underlies|27732|Campaspe Formation||
23981|Southern Cross Formation|underlies|27732|Campaspe Formation|not specified|
24044|Trooper Creek Formation|underlies|27732|Campaspe Formation|not specified|
19932|Whitsunday Volcanics|overlies|29557|Campwyn Volcanics|not specified|
8264|Heliman Formation|underlies|25687|Candlow Formation|conformity|
27818|Langdon River Mudstone|overlies|25687|Candlow Formation|conformity|
27497|Mosaic Gully Rhyolite|underlies|28213|Canyon Dacite|conformity|
26894|Shrimp Creek Rhyolite|overlies|28213|Canyon Dacite|unconformity|
5734|Duaringa Formation|overlies|3497|Cape Hillsborough beds|not specified|
6127|Emerald Formation|overlies|3497|Cape Hillsborough beds|not specified|
6440|Exevale Formation|overlies|3497|Cape Hillsborough beds|not specified|
31117|Fat Hen Creek Complex|intrudes|27361|Cape River Metamorphics||
3148|Burrum Coal Measures|overlies|68158|Caramar Siltstone|not specified|
12480|Mount Barker Granodiorite|overlies|23469|Carbethon Gabbro|not specified|
6509|Falloch beds|overlies|3620|Carl Creek Limestone|not specified|
18088|Thorntonia Limestone|underlies|3620|Carl Creek Limestone|not specified|
20690|Wyaaba beds|overlies|3620|Carl Creek Limestone|not specified|
11984|Mithaka Formation|overlies|3624|Carlo Sandstone|unconformity|
14235|Nora Formation|underlies|3624|Carlo Sandstone|conformity|
