Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41330|Yoo, E.K.|1988|The Rocky Glen Ridge and Gilgandra Trough, beneath the Surat Basin.|Geological Survey of New South Wales. Quarterly Notes|72|p17-26
41347|Gilligan, L.B., Brownlow, J.W.|1987|Tamworth-Hastings 1:250 000 metallogenic map. Sheets SH 56-13, SH 56-14 (plus parts of SI 56-1 and SI 56-2). Mineral deposit data sheets and metallogenic study.|Geological Survey of New South Wales. Metallogenic Map Series|1v|
41348|Gilligan, L.B., Brownlow, J.W., Cameron, R.G.|1987|Tamworth-Hastings, New South Wales, 1:250 000 metallogenic series map. Sheets SH 56-13, SH/56-14, 1st edition.|Geological Survey of New South Wales. Metallogenic Map Series|1v|Map
41356|Owen, M., Senior, D., Owen, J., Hodgson, J.|1988|Geological monuments in the Australian Capital Territory.|Australian Heritage Commission|1v|
41361|Alley, N.F., Lemon, N.M.|1988|Evidence of earliest Cretaceous (Neocomian) marine influence, northern Flinders Ranges.|Geological Survey of South Australia, Quarterly Geological Notes|106|p2-7
41362|Bowman, G.M., Sheard, M.J.|1988|Redefinition of the Fulham Sand, Adelaide Plains Sub-Basin, South Australia.|Geological Survey of South Australia, Quarterly Geological Notes|106|p7-15
41363|Flint, R.B., Fanning, C.M., Rankin, L.R.|1988|The Late Proterozoic Kilroo Formation of the Polda Basin.|Geological Survey of South Australia, Quarterly Geological Notes|106|p16-23
41364|Young, G.M., Gostin, V.A.|1988|Stratigraphy and sedimentology of Sturtian glacigenic deposits in the western part of the North Flinders Basin, South Australia.|Precambrian Research|39(3)|p151-170
41385|Young, G.C.|1988|New occurences of phyllolepid placoderms from the Devonian of central Australia.|BMR Journal of Australian Geology and Geophysics|10(4)|p363-376
41389|Wright, A.J.|1988|First report of Late Devonian trilobites from eastern Australia.|Proceedings of the Linnean Society of New South Wales|110(1)|p27-30
41390|Arrykul, S., Drake, N., Dunlop, A.C., Govett, G.J.S.|1988|A comparison of drainage sediment and rock-geochemical surveys for sheeted vein tin mineralization near Emmaville, N.S.W., Australia.|Journal of Geochemical Exploration|30(2)|p123-144
41391|Nanson, G.C., Young, R.W.|1988|Fluviatile evidence for a period of Late-Quaternary pluvial climate in coastal southeastern Australia.|Palaeogeography, Palaeoclimatology, Palaeoecology|66(1/2)|p45-61
41394|Trigg, S.J.|1987|Geology of the Kilparney 1:100 000 Sheet 8132.|Geological Survey of New South Wales|1v|
41395|Trigg, S.J., Watson-Baldwin, P.S.|1988|Kilparney, New South Wales, 1:100 000 geological series map. Sheet 8132.|Geological Survey of New South Wales|1v|map
41400|Preiss, W.V.|1987|Modern environments of the Mount Lofty Ranges, Flinders Ranges and adjacent regions. IN Preiss W.V. - (compiler) The Adelaide Geosyncline, Late Proterozoic stratigraphy, sedimentation, palaeontology and tectonics. Chapter 3.|Geological Survey of South Australia. Bulletin|53|p21-28
41401|Preiss, W.V.|1987|Stratigraphic nomenclature and classification. IN Preiss W.V . - (compiler) The Adelaide Geosyncline, Late Proterozoic stratigraphy, sedimentation, palaeontology and tectonics. Chapter 3.|Geological Survey of South Australia. Bulletin|53|p29-34
41402|Preiss, W.V.|1987|Basement to the Adelaide Geosyncline. IN Preiss W.V. - ( compiler) The Adelaide Geosyncline, Late Proterozoic stratigraphy, sedimentation, palaeontology and tectonics. Chapter 4.|Geological Survey of South Australia. Bulletin|53|p35-42
41403|Coats, R.P., Preiss, W.V.|1987|Stratigraphy of the Callanna Group. IN Preiss W.V. - ( compiler) The Adelaide Geosyncline, Late Proterozoic stratigraphy, sedimentation, palaeontology and tectonics. Part II. The Warrina Supergroup. Chapter 5.|Geological Survey of South Australia. Bulletin|53|p43-72
41404|Forbes, B.G., Preiss, W.V.|1987|Stratigraphy of the Burra Group. IN Preiss W.V. - (compiler) The Adelaide Geosyncline, Late Proterozoic stratigraphy, sedimentation, palaeontology and tectonics. Chapter 6.|Geological Survey of South Australia. Bulletin|53|p73-124
