Reference Id | Author | Year | Title | Source | Vol/Part | Pages
23899|Solomon, M., Gasper, O.C.|2001|Textures of the Hellyer Volcanic-Hosted Massive Sulfide Deposit, Tasmania - Aging of a Sulfide on the Sea Floor|Economic Geology|96 (7)|p1513-1534
23909|Dickinson, J.A., Wallace, M.W., Holdgate, G.R., Gallagher, S.J., Thomas, L.|2002|Origin and timing of the Miocene - Pliocene unconformity in Southeast Australia|Journal of Sedimentary Petrology|72(2)|p288-303
23911|Bryan, S.E., Constantine, A.E., Stephens, C.J.|1997|Early Cretaceous volcano - sedimentary successions along the eastern Australian continental margin: Implications for the breaqk-up of eastern Gondwana|Earth and Planetary Science Letters|153|p85-102
23923|Zaw, K., Singoyi, B.|2000|Formation of Magnetite-Scheelite Skarn Mineralisation at Kara, Nothwestern Tasmania: Evidence from Mineral Chemistry and Stable Isotopes|Economic Geology|95 (6)|p1215-1230
23932|Foden, J., Song, S.H., Turner, S., Elburg, M., Smith, P.B., Van der Steldt, B., Van Penglis, D.|2002|Geochemical evolution of lithospheric mantle beneath S.E. South Australia|Chemical Geology|182 (2-4)|p663-695
23939|Hill, P.J., Moore, A.M.G.|2001|Geological framework of the South Tasman Rise and East Tasman Plateau|Geoscience Australia. Record|2001/40|29pp +figs +plates
23940|Large, R.R., McPhie, J., Gemmell, J.B., Herrmann, W., Davidson, G.J.|2001|The Spectrum of Ore Deposit Types, Volcanics Environments, Alteration Halos, and Related Exploration Vectors in Submarine Volcanic Successions: Some Examples from Australia|Economic Geology|96(5)|p913-938
23941|Herrmann, W., Blake, M., Doyle, M.|2001|Short Wavelength Infared (SWIR) Spectral Analysis of Hydrothermal AlterationZones Associated with Base Metal Sulfide Deposits at Rosebury and Western Tharsis, Tasmania, and Highways-Reward, Queensland|Economic Geology|96(5)|p939-955
23942|Large, R.R., Gemmell, J.B., Paulick, H.|2001|The Alteration Box Plot: A Simple Approach to Understanding the Relationship between Alteration Mineralogy and Lithogeochemistry Associated with Volcanic-Hosted Massive Sulphide Deposits|Economic Geology|96(5)|p957-971
23943|Gifkins, C.C., Allen, R.L.|2001|Textural and Chemical Characteristics of Diagenetic and Hydrothermal Alteration in the Glassy Volcanic Rocks: Examples from the Mount Read Volcanics, Tasmania|Economic Geology|96(5)|p973-1002
23944|Gemmell, J.B., Fulton, R.|2001|Geology, Genesis, and Exploration Implications of the Footwall and Hanging-Wall Alteration Associated with the Hellyer Volcanic-Hosted Massive Sulphide Deposit, Tasmania, Australia|Economic Geology|96(5)|p1003-1035
23945|Schardt, C., Cooke, D.R., Gemmell, J.B., Large, R.R.|2001|Geochemical Modeling of the Zoned Footwall Alteration Pipe, Hellyer Volcanics-Hosted Massive Sulfide Deposit, Western Tasmania, Australia|Economic Geology|96(5)|p1037-1054
23946|Large, R.R., Allen, R.L., Blake, M.D., Herrmann, W.|2001|Hydrothermal Alteration and Volatile Element Halos for the Rosebery K Lens Volcanics-Hosted Massive Sulfide Deposit, Western Tasmania|Economic Geology|96(5)|p1055-1072
23947|Callaghan, T.|2001|Geology and Host-Rock Alteration of the Henty and Mount Julia Gold Deposit, Western Tasmania|Economic Geology|96(5)|p1073-1088
23948|Corbett, K.D.|2001|New Mapping and Interpretations of the Mount Lyell Mining District, Tasmania: A Large Hybrid Cu-Au System with an Exhalative Pb-Zn Top|Economic Geology|96(5)|p1089-1122
23949|Huston, D.L., Kamprad, J.|2001|Zonation of Alteration Facies at Western Tharsis: Implication for the Genesis of Cu-Au Deposits, Mount Lyell Field, Western Tasmania|Economic Geology|96(5)|p1123-1132
23951|Herrmann, W., Hill, A.P.|2001|The Origin of Chlorite-Tremolite-Carbonate Rocks Associated with the Thalanga Volcanic-Hosted Massive Sulfide Deposit, North Queensland, Australia|Economic Geology|96(5)|p1149-1173
23979|Pierson, R.R., Foster, C.B., Archbold, N.W.|2001|Reworked Devonian (Givetian-Frasnian) spores from a Permian glacially-derived sequence at Bacchus Marsh, Victoria|Proceedings of the Royal Society of Victoria|113 (2)|p207-216
23990|Holm, O.H., Berry, R.F.|2002|Structural history of the Arthur Lineament, northwest Tasmania: an analysis of critical outcrops|Australian Journal of Earth Sciences|49 (2)|p167-185
24002|Cayley, R.A., Taylor, D.H., VandenBerg, A.H.M., Moore, D.H.|2002|Proterozoic - Early Palaeozoic rocks and the Tyennan Orogeny in central Victoria: the Selwyn Block and its tectonic implications	|Australian Journal of Earth Sciences|49 (2)|p225-254
