Reference Id | Author | Year | Title | Source | Vol/Part | Pages
49781|Duggan, M.B., Knutson, J.|1991|Geology of Australian National Parks No 2 - An outline of the geology and petrology of the Warrumbungle volcano for participants in the Cenozoic Volcanism Field Workshop 7-11 December 1986.|Bureau of Mineral Resources, Record|91/ 44|30pp
49897|Oliver, N.H.S., Mark, G., Pollard, P.J., Rubenach, M.J., Williams, P.J., Baker, T., Nemchin, A.A.|2000|Mass transfer and fluid flow in the Eastern Fold Belt of the Mt Isa Block: searching for local and distal mass sources for ore deposits IN Roberts, M.D. and Fairclough, M.C. (eds.) "Fe-oxide-Cu-Au Deposits: A discussion of critical ...."|James Cook University, North Queensland. Economic Geology Research Unit. Contributions|58|p19-25
50015|The AHV Symposium - New England Geology|1982|The Taronga Tin Prospect, Emmaville - Excursion Guide IN Flood P.G.,Runnegar B.(eds)-New England geology. Proceedings of a symposium on the geology of the New England area, 1982.|University of New England. Department of Geology & AHV Club|1v|p351-352
50044|Edgar, N.T., Cecil, C.B., Mattick, R.E., Chivas, A.R., de Deckker, P., Djajadihardja, Y.S.|2003|A modern analogue for tectonic, eustatic, and climatic processes in cratonic basins: Gulf of Carpentaria, Northern Australia IN Cecil, C.B. and Edgar, N.T. (eds.) "Climate Controls on Stratigraphy"|SEPM Special Publication|77|p193-205
50077|Basden, A.|2003|Early Devonian (Emsian) Vertebrate Microremains from the Buchan Group, Victoria, Australia|Royal Society of Victoria. Proceedings|115(1-2)|p7-26
50081|Conor, C.H.H.|2003|An early Mesoproterozoic FeO-Cu-Au province - hints of its global extent|MESA Journal|29|p42-45
50088|Anderson, M.A.|2003|A study of conodont genera Belodella and Neopanderodus with emphasis on faunas from eastern Australia|Courier Forschungsinstitut Senckenberg|245|p463-491
50091|Cantrill, R.C., Burrett, C.F.|2003|The Greater Gondwana distribution of the Ordovician conodont Panderodus nogamii (LEE) 1975|Courier Forschungsinstitut Senckenberg|245|p407-419
50093|Daniell, J.J.|2003|Sedimentology, conodont stratigraphy, and palaeogeography of a mid-Devonian carbonate/siliciclastic platform margin, Broken River region, north-eastern Australia|Courier Forschungsinstitut Senckenberg|245|p327-355
50096|Simpson, A.|2003|A new subspecies of the conodont genus Ozarkodina and its correlative value|Courier Forschungsinstitut Senckenberg|245|p75-81
50100|Denaro, T.J., Withnall, I.W., Culpeper, L.G., Burrows, P.E., Morwood, D.A.|2004|Mines, mineralisation and mineral exploration in the Duchess and Boulia 1:250 000 Sheet areas, north-west Queensland|Queensland Geological Record|2003/4|254p
50115|Esterle, J., Sliwa, R., Le Blanc Smith, G., Yago, J.|2001|Basement controls on regional to minescale structure and sedimentation in the Moranbah Coal Measures: The super model 2000 case study|Coalfield Geology Council of New South Wales|1v|p53-61
50125|Hatton, O.J., Davidson, G.J.|2004|Soldiers Cap Group iron-formations, Mt Isa Inlier, Australia, as windows into the hydrothermal evolution of a base-metal-bearing Proterozoic rift basin|Australian Journal of Earth Sciences|51(1)|p85-106
50147|Roberts, J., Engel, B., Lennox, M., Chapman, J.|1991|Dungog, New South Wales 1:100 000 Geological Sheet 9233|Geological Survey of New South Wales. 1:100,000 geological sheet series|1v|Map
50153|Fraser, S.J.|2002|A Regional Overview of the Charters Towers-North Drummond Basin Region: geomorphic landform provinces|CRCLEME Open File Report|137|28p
50190|Blake, P.R., Hayward, M.A., Simpson, G.A., Osborne, J.H., Murray, C.G.|1996|Review of Mineral Exploration within the Biloela (9049), Calliope (9149), Monto (9148) and Scoria (9048) 1:100 000 Sheet Areas, Central Queensland.|Queensland Geological Record|1996/12|88p
50197|Dept. Natural Resources and Mines, Qld.|2001|Biloela, Queensland 1:100 000 geological map, sheet 9049|Queensland. Department of Natural Resources and Mines.|1v|Map
50198|Dept. Natural Resources and Mines, Qld.|2003|Georgetown, Queensland 1:100 000 geological map, sheet 7661|Queensland. Department of Natural Resources and Mines.|1v|Map
50199|Dept. Natural Resources and Mines, Qld., Withnall, I.W., Blight, R.K.J.|2003|Forsayth, Queensland 1:100 000 geological map, sheet 7660, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50200|Dept. Natural Resources and Mines, Qld.|2003|Lyndhurst, Queensland 1:100 000 geological map, sheet 7759|Queensland. Department of Natural Resources and Mines.|1v|Map
50201|Dept. Natural Resources and Mines, Qld.|2003|Einasleigh, Queensland 1:100 000 geological map, sheet 7760|Queensland. Department of Natural Resources and Mines.|1v|Map
50202|Dept. Natural Resources and Mines, Qld.|2003|Conjuboy, Queensland 1:100 000 geological map, sheet 7860|Queensland. Department of Natural Resources and Mines.|1v|Map
50207|Crouch, S.B.S., Blake, P.R., Blight, R.K.J., Roberts, C.W.|2001|Gladstone Special Queensland 1:100 000 Sheet 9150 and part 9151, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50208|Blake, P.R., Crouch, S.B.S., Murray, C.G., Blight, R.K.J., Roberts, C.W.|2001|Bajool Queensland 1:100 000 Sheet 9050, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50209|Simpson, G.A., Crouch, S.B.S., Murray, C.G., Withnall, I.W., Blight, R.K.J.|2001|Ridgelands Queensland 1:100 000 Sheet 8951, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50210|Withnall, I.W., Blight, R.K.J., Gatehouse, N.C.|2003|North Head Queensland 1:100 000 Sheet 7560, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50211|Withnall, I.W., Blight, R.K.J., Pascoe, G.S.|2003|Gilberton Queensland 1:100 000 Sheet 7659, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50212|Crouch, S.B.S., Simpson, G.A., Blight, R.K.J., Roberts, C.W.|2001|Rockhampton Queensland 1:100 000 Sheet 9051, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50213|Withnall, I.W., Blight, R.K.J., Roberts, C.W.|2001|Rookwood Queensland 1:100 000 Sheet 8851, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50214|Withnall, I.W., Nieuwenburg, A., Roberts, C.W.|2001|Scoria Queensland 1:100 000 Sheet 9048, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50215|Withnall, I.W., Nieuwenburg, A.|2002|Banana Queensland 1:100 000 Sheet 8949, first edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50224|Williams, G.E., Schmidt, P.W., Clark, D.A.|2004|Palaeomagnetism of iron-formation from the late Palaeoproterozoic Frere Formation, Earaheedy Basin, Western Australia:  palaeogeographic and tectonic implications|Precambrian Research|128(3-4)|p367-383
50225|Martin, D.McB., Thorne, A.M.|2004|Tectonic setting and basin evolution of the Bangemall Supergroup in the northwestern Capricorn Orogen|Precambrian Research|128(3-4)|p385-409
50244|Anderson, K.L., Lackie, M.A., Clark, D.A., Schmidt, P.W.|2004|Return to Black Mountain; palaeomagnetic reassessment of the Chatsworth and Ninmaroo formations, western Queensland, Australia|Geophysical Journal International|157(1)|p87-104
50273|Hutton, L.J., Withnall, I.W., Nieuwenburg, A., Hill, R.B.|2002|Theodore, Queensland, 1:100 000 Sheet 8948, First Edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50301|Bultitude, R.J., Withnall, I.W., Nieuwenburg, A.|2003|Cracow, Queensland, 1:100 000 Sheet 8947, First Edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50316|Bultitude, R.J., Garrad, P.D., Mackenzie, D.E., Roberts, C.W.|2000|Mount Mulligan, Qld. 1:100 000 Sheet 7864, First edition|Queensland. Department of Mines and Energy|1v|Map
50317|Blake, P.R., Hayward, M.A., Murray, C.G., Withnall, I.W.|2001|Mount Morgan, Qld., 1:100 000 Sheet 8950, First edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50320|Tang, J.E.H., Pascoe, G.S.|2002|Goomeri, Qld., 1:100 000 Sheet 9345, Edition 2|Queensland. Department of Natural Resources and Mines.|1v|Map
50322|Tang, J.E.H., Cranfield, L.C., Pascoe, G.S.|2001|Helidon, Qld., 1:100 000 Sheet 9342, First edition|Queensland. Department of Natural Resources and Mines.|1v|Map
50332|Denaro, T.J., Culpeper, L.G., Burrows, P.E., Morwood, D.A.|2004|Mines, mineralisation and mineral exploration in the Cloncurry 1:250 000 Sheet area, north-west Queensland|Queensland Geological Record|2004/1|276p
50335|Bultitude, R.J., Garrad, P.D., Roberts, C.W.|2000|South Palmer River, Queensland, 1:100 000 Sheet 7865, First edition|Queensland Department of Minerals and Energy|1v|Map
