Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
7798|Greta Coal Measures|overlies|24721|Billy Brook Formation|unconformity|
20045|Wilkawillina Limestone|underlies|1645|Billy Creek Formation|unconformity|
20300|Wirrealpa Limestone|overlies|1645|Billy Creek Formation|not specified|
70473|White Rocks Ignimbrite Member|underlies|70455|Bindawalla Ignimbrite Member|not specified|
31547|Arthursleigh Suite|intrudes|69879|Bindook Group||
26052|Mount Fairy Group|underlies|69879|Bindook Group||
75932|Pleasant Hill Granite|intrudes|69879|Bindook Group||
14916|Parry Group|underlies|69825|Bingara Volcanics|unconformity|
24663|Ararat Formation|overlies|1691|Bingleburra Formation|conformity|
24709|Bells Creek Volcanics|underlies|30648|Biraganbil Formation|conformity|
30646|Piambong Formation|overlies|30648|Biraganbil Formation|conformity|
21242|Beugamel Sandstone|underlies|38921|Bird Flat Volcanic Member|not specified|
25947|Hervey Group|overlies|38921|Bird Flat Volcanic Member|not specified|
39262|Penryn Rhyolite Member|underlies|39258|Birken Head Volcanic Member|not specified|
26052|Mount Fairy Group|overlies|1727|Birkenburn beds|unconformity|
8610|Hutton Sandstone|underlies|1729|Birkhead Formation|conformity|
19796|Westbourne Formation|overlies|1729|Birkhead Formation|not specified|
28370|Birdwood Formation|overlies|21260|Bitter Ground Volcanics|not specified|
34363|Mile Road beds|underlies|21260|Bitter Ground Volcanics|not specified|
76021|Grasmere Formation|underlies|73421|Bittles Tank Volcanics||
9352|Kayrunnera Group|overlies|73421|Bittles Tank Volcanics|unconformity|
8569|Hume Limestone Member|underlies|1776|Black Bog Shale|not specified|
16331|Rosebank Shale|overlies|1776|Black Bog Shale|not specified|
16898|Silverdale Formation|underlies|1776|Black Bog Shale|not specified|
5470|Digby Formation|overlies|1798|Black Jack Group|unconformity|
19589|Watermark Formation|underlies|1798|Black Jack Group|not specified|
17298|State Circle Shale|underlies|24186|Black Mountain Sandstone|conformity|
18134|Tidbinbilla Quartzite|is equivalent to|24186|Black Mountain Sandstone||
27854|Murrumbidgee Group|overlies|1812|Black Range Group|not specified|
3442|Canangle Subgroup|overlies|28374|Black Rock Subgroup|not specified|
39|Aberdare Conglomerate|overlies|1871|Blackstone Formation|unconformity|
15784|Raceview Formation|overlies|1871|Blackstone Formation|unconformity|
14021|Neranleigh-Fernvale beds|underlies|26398|Blackwall Breccia|not specified|
3026|Bungunnia Limestone|overlies|1918|Blanchetown Clay|not specified|
4042|Chowilla Sand|is interbedded with|1918|Blanchetown Clay||
9299|Karoonda Surface|underlies|1918|Blanchetown Clay|not specified|
25474|Shepparton Formation|overlies|1918|Blanchetown Clay|not specified|
20618|Woorinen Formation|overlies|1918|Blanchetown Clay|not specified|
4594|Coombing Formation|underlies|29501|Blayney Volcanics|not specified|
40947|Cockatoo Point Limestone Member|overlies|26402|Bloomfield Limestone Member|not specified|
5060|Currajong Limestone Member|underlies|26402|Bloomfield Limestone Member|conformity|
27546|Receptaculites Limestone Member|overlies|26402|Bloomfield Limestone Member|conformity|
2659|Broughton Formation|is interbedded with|1968|Blow Hole Latite Member||
9508|Kiama Sandstone Member|overlies|1968|Blow Hole Latite Member|not specified|
19834|Westley Park Sandstone Member|underlies|1968|Blow Hole Latite Member|not specified|
2947|Bumbolee Creek Formation|underlies|27671|Blowering Formation||
24127|Wyangle Formation|underlies|27671|Blowering Formation||
14148|Nimbin Rhyolite|underlies|1991|Blue Knob Basalt|not specified|
13264|Mountain Creek Volcanics|overlies|2006|Blue Waterhole Formation|not specified|
15053|Peppercorn Formation|underlies|2006|Blue Waterhole Formation|not specified|
15351|Pocket Formation|underlies|2006|Blue Waterhole Formation|not specified|
8710|Injune Creek Group|underlies|2034|Blythesdale Group|not specified|
16267|Rolling Downs Group|overlies|2034|Blythesdale Group|not specified|
40929|Copplestone Member|underlies|40930|Boambolo Member|not specified|
28435|Cara Formation|underlies|25796|Bobs Creek Formation|unconformity|
26071|Nangahrah Formation|overlies|25796|Bobs Creek Formation|unconformity|
26477|Christine Judith Conglomerate|underlies|2060|Boco Formation|not specified|
29142|Wilangee Basalt|overlies|2060|Boco Formation|not specified|
27752|Cotton Formation|underlies|23398|Bocobidgle Conglomerate|not specified|
13408|Mumbidgle Formation|overlies|23398|Bocobidgle Conglomerate|not specified|
30985|Carolina Forest Formation|overlies|21278|Bogan Schist|not specified|
30984|Mount Royal Formation|underlies|21278|Bogan Schist|not specified|
24296|Goonbri Formation|overlies|2088|Boggabri Volcanics|not specified|
10280|Leard Formation|overlies|2088|Boggabri Volcanics|not specified|
19751|Werrie Basalt|overlies|2088|Boggabri Volcanics||
22512|Narooma Chert|underlies|2097|Bogolo Formation|conformity|
35522|Murrindindi Supergroup|overlies|24743|Bolinda Shale|not specified|
3106|Burra Group|overlies|26411|Bolla Bollana Tillite|unconformity|
18012|Texas beds|underlies|2168|Bondonga beds|unconformity|
16342|Rosebrook Member|underlies|2179|Bonnie Doon Member||
24663|Ararat Formation|underlies|27717|Bonnington Siltstone|conformity|
6721|Flagstaff Formation|overlies|27717|Bonnington Siltstone|conformity|
77318|Ashford Member|underlies|77320|Bonshaw Member||
77321|Bukkulla Member|overlies|77320|Bonshaw Member||
2775|Buckaroo Conglomerate|overlies|2192|Boogledie Formation|unconformity|
12721|Mount Frome Limestone|underlies|2192|Boogledie Formation|conformity|
5752|Duddo Limestone|underlies|2203|Bookpurnong Formation||
13544|Murray Group|underlies|2203|Bookpurnong Formation|not specified|
14553|Olney Formation|overlies|24748|Boolahbone Granite|not specified|
23689|Kataway Mudstone|underlies|23408|Boolambayte Formation|not specified|
14025|Nerong Volcanics|overlies|23408|Boolambayte Formation|not specified|
808|Awaba Tuff|overlies|2217|Boolaroo Formation|not specified|
35095|Warners Bay Tuff|underlies|2217|Boolaroo Formation|not specified|
12170|Mooga Sandstone|overlies|2259|Boondooma Igneous Complex||
6555|Faulkland Formation|underlies|2271|Booral Formation|conformity|
11542|McInnes Formation|overlies|2271|Booral Formation|conformity|
24487|Salisbury Sandstone|underlies|2271|Booral Formation|conformity|
2294|Boothumble Formation|underlies|42361|Bootheragandra Group|not specified|
23935|Rast Group|overlies|2294|Boothumble Formation|not specified|
32684|Wagga Group|underlies|2294|Boothumble Formation|unconformity|
23408|Boolambayte Formation|underlies|24752|Booti Booti Sandstone|disconformity|
14025|Nerong Volcanics|underlies|24752|Booti Booti Sandstone|disconformity|
20747|Yagon Siltstone|overlies|24752|Booti Booti Sandstone|not specified|
18267|Toll Bar Formation|overlies|2307|Borambil Creek Formation|not specified|
29148|Willow Tree Formation|underlies|2307|Borambil Creek Formation|not specified|
24837|Cheesemans Creek Formation|underlies|2330|Boree Creek Formation|not specified|
19437|Waratah Sandstone|underlies|2336|Borehole Coal|not specified|
2330|Boree Creek Formation|underlies|2341|Borenore Limestone|not specified|
19257|Wallace Shale|overlies|2341|Borenore Limestone|not specified|
10619|Long Flat Volcanics|is intruded by|2344|Boro Granite||
23810|Morden Formation|underlies|23411|Boshy Formation|conformity|
15860|Ravendale Formation|overlies|23411|Boshy Formation|unconformity|
24085|Watties Bore Formation|overlies|23411|Boshy Formation|conformity|
5840|Dunedoo Formation|underlies|32390|Boulderwood Formation|not specified|
13831|Napperby Formation|overlies|32390|Boulderwood Formation|not specified|
31704|Mandagery Formation|underlies|33410|Boulton Formation|not specified|
26012|Manooka Limestone Member|overlies|27115|Bourimbla Limestone Member|disconformity|
28263|Ranch Member|underlies|27115|Bourimbla Limestone Member|disconformity|
24837|Cheesemans Creek Formation|overlies|31724|Bowan Park Limestone Subgroup|not specified|
25904|Fairbridge Volcanics|underlies|31724|Bowan Park Limestone Subgroup|not specified|
26371|Barrandella Shale Member|overlies|2439|Bowspring Limestone Member|not specified|
40932|Yanawe Formation|underlies|2439|Bowspring Limestone Member|not specified|
4970|Crudine Group|overlies|29583|Box Ridge Volcanics|conformity|
4789|Covan Creek Formation|underlies|31756|Boxers Creek Formation|not specified|
31757|Towrang Formation|overlies|31756|Boxers Creek Formation|not specified|
98|Adaminaby Group|underlies|27117|Boyd Volcanic Complex|unconformity|high angle unconformity
11713|Merrimbula Group|overlies|27117|Boyd Volcanic Complex|unconformity|very low angle unconformity or conformity
20045|Wilkawillina Limestone|overlies|28396|Brachina Formation|not specified|
10619|Long Flat Volcanics|is intruded by|2487|Braidwood Granodiorite||
7798|Greta Coal Measures|underlies|2498|Branxton Formation|not specified|
25303|Mulbring Siltstone|overlies|2498|Branxton Formation|not specified|
13509|Muree Sandstone|overlies|2498|Branxton Formation|not specified|
3991|Chillingham Volcanics|underlies|2507|Brassal Subgroup|not specified|
32687|Honeysuckle beds|overlies|40188|Brawlin Formation|not specified|
26078|Newtown Formation|underlies|25809|Breckin Ignimbrite Member|not specified|
20777|Yalmy Group|underlies|21321|Bredbo Group|unconformity|
20289|Wire Gully Limestone Member|underlies|2538|Bridge Creek Limestone Member|not specified|
1645|Billy Creek Formation|overlies|76217|Brillig Catch Member||
17938|Temi Formation|overlies|70467|Brogans Rhyodacite Member||
19751|Werrie Basalt|overlies|70467|Brogans Rhyodacite Member||
17531|Sundown Group|overlies|2617|Broken Hill Group|conformity|
25749|Thackaringa Group|underlies|2617|Broken Hill Group|conformity|
22324|Middledale Gabbroic Diorite|intrudes|29574|Bronxhome Formation||
14021|Neranleigh-Fernvale beds|underlies|2627|Brookfield Volcanics|unconformity|
954|Baledmund Formation|underlies|21339|Brookong Formation|not specified|
11741|Meryula Formation|overlies|21339|Brookong Formation|not specified|
16848|Shoalwater Formation|is equivalent to|29558|Broome Head Metamorphics||
30031|Coogal Subgroup|overlies|30028|Brothers Subgroup|not specified|
30034|Nea Subgroup|overlies|30028|Brothers Subgroup|not specified|
19589|Watermark Formation|underlies|30028|Brothers Subgroup|not specified|
27336|Berry Siltstone|underlies|2659|Broughton Formation|not specified|
1968|Blow Hole Latite Member|is interbedded with|2659|Broughton Formation||
27728|Bumbo Latite Member|is interbedded with|2659|Broughton Formation||
3370|Cambewarra Latite Member|is interbedded with|2659|Broughton Formation||
37353|Coolangatta Latite Member|is interbedded with|2659|Broughton Formation||
5187|Dapto Latite Member|is interbedded with|2659|Broughton Formation||
7155|Gerringong Volcanics|is interbedded with|2659|Broughton Formation||
26884|Saddleback Latite Member|is interbedded with|2659|Broughton Formation||
23357|Bandon Grove Limestone Member|overlies|23426|Brownmore Sandstone Member|conformity|
24054|Underbank Mudstone Member|underlies|23426|Brownmore Sandstone Member|conformity|
24127|Wyangle Formation|overlies|23428|Brungle Creek Metabasalt||
9617|Kingsfield Formation|underlies|2726|Brushy Hill Limestone Member|not specified|
20654|Wroxley Lithic Sandstone Member|underlies|2726|Brushy Hill Limestone Member|not specified|
17054|Snowy Plains Formation|underlies|75714|Bryce Plain Basalt|unconformity|
27826|Macquarie Park Sandstone|overlies|2734|Brymedura Sandstone|conformity|
14792|Paling Yard Formation|underlies|2734|Brymedura Sandstone|conformity|
20540|Woogaroo Subgroup|overlies|39025|Buaraba Granodiorite|not specified|
20540|Woogaroo Subgroup|overlies|26428|Buaraba Mudstone|unconformity|
2937|Bumberra Formation|overlies|2775|Buckaroo Conglomerate|conformity|
24110|Windamere Volcanics|underlies|2775|Buckaroo Conglomerate|unconformity|
23323|Adderley Formation|overlies|2778|Buckburraga Slate|not specified|
5806|Dunchurch Formation|underlies|2778|Buckburraga Slate|not specified|
4667|Copeland Road Formation|underlies|26430|Buckets Gap Formation|conformity|
11542|McInnes Formation|overlies|26430|Buckets Gap Formation|not specified|
26100|Pheasants Nest Formation|overlies|2815|Budgong Sandstone|not specified|
3378|Camboon Volcanics|underlies|27076|Buffel Formation|unconformity|
