Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
19428|Wapentake Formation|underlies|5213|Dargile Formation|conformity|
38291|Newer Volcanic Group|underlies|5222|Darley Gravel||
29131|Werribee Formation|underlies|5222|Darley Gravel||
24743|Bolinda Shale|underlies|27308|Darraweit Guim Mudstone|conformity|
5327|Deep Creek Siltstone|overlies|27308|Darraweit Guim Mudstone|not specified|
35522|Murrindindi Supergroup|overlies|27308|Darraweit Guim Mudstone||
37584|Murtagh Creek Ignimbrite|overlies|23534|Dart River Volcanic Breccia|not specified|
20398|Wombat Creek Group|underlies|23535|Dartella Volcanic Group|unconformity|
37584|Murtagh Creek Ignimbrite|overlies|23536|Dartmouth Granite|unconformity|
30558|Johnson Mudstone|underlies|37540|Davidsons Lane Formation|conformity|
34812|Mount Elizabeth Caldera Complex|overlies|34862|Dead Bird Suite|nonconformity|
9552|Kilgower Member|overlies|5297|Dead Bull Member|not specified|
9552|Kilgower Member|underlies|5297|Dead Bull Member|not specified|
16160|Roaring Mag Member|overlies|5297|Dead Bull Member|not specified|
16160|Roaring Mag Member|underlies|5297|Dead Bull Member|not specified|
22890|Statham Ignimbrite|underlies|21630|Dead Cattle Gully Ignimbrite|not specified|
30575|Cornella Member|underlies|74735|Dealba Sandstone Member|conformity|
30576|Stoddart Member|overlies|74735|Dealba Sandstone Member|conformity|
23952|Saint Arnaud Group|overlies|37541|Deenicull Schist|not specified|
27308|Darraweit Guim Mudstone|underlies|5327|Deep Creek Siltstone|conformity|
26146|Springfield Sandstone|overlies|5327|Deep Creek Siltstone|not specified|
28720|Mansfield Group|overlies|21636|Delatite Group|not specified|
28720|Mansfield Group|underlies|21636|Delatite Group|not specified|
37613|Wellington Volcanic Group|overlies|21636|Delatite Group|not specified|
15761|Quidong Limestone|underlies|5352|Delegate River Mudstone|not specified|
18441|Torquay Group|overlies|36796|Demons Bluff Group|disconformity|
839|Bacchus Marsh Formation|underlies|41196|Den Hills Formation|unconformity|
7400|Glenelg River Metamorphic Complex|underlies|41196|Den Hills Formation|unconformity|
14685|Otway Group|overlies|41196|Den Hills Formation|disconformity|
41195|Hypatia Formation|overlies|27389|Dergholm Granite|nonconformity|
14685|Otway Group|overlies|27389|Dergholm Granite|nonconformity|
38291|Newer Volcanic Group|underlies|23545|Deutgam Silt||
21860|Glen Shiel Ignimbrite|underlies|29205|Devils Den Conglomerate|not specified|
22824|Scorpion Creek Sandstone|underlies|30557|Dicks Creek Ignimbrite|not specified|
23217|Windarra Formation|underlies|30557|Dicks Creek Ignimbrite|not specified|
35516|Bear Gully Chert Bed|underlies|37267|Digger Island Marlstone|conformity|
37266|Corduroy Creek Gabbro|underlies|37267|Digger Island Marlstone|nonconformity|
33278|Maitland Beach Volcanics|underlies|37267|Digger Island Marlstone|not specified|
19441|Warbisco Shale|underlies|37357|Dignams Siltstone|not specified|
3162|Burrungule Member|overlies|5489|Dilwyn Formation|not specified|
5924|Eastern View Formation|underlies|5489|Dilwyn Formation||
11654|Mepunga Formation|overlies|5489|Dilwyn Formation|not specified|
14185|Nirranda Group|overlies|5489|Dilwyn Formation|not specified|
14994|Pebble Point Formation|underlies|5489|Dilwyn Formation|conformity|
34699|Sturgess Point Member|overlies|5489|Dilwyn Formation|not specified|
29205|Devils Den Conglomerate|underlies|21665|Dingo Hill Lava|not specified|
32495|Knowsley East Shale|overlies|39124|Dja Dja Wrung Supergroup|not specified|
2543|Bridgewater Formation|overlies|77690|Dog Trap Bay Sand|disconformity|
77691|Cove Sand|overlies|77690|Dog Trap Bay Sand|disconformity|
78584|Sturgess Sand|overlies|77690|Dog Trap Bay Sand|disconformity|
22177|Lazarini Siltstone|underlies|27761|Donnellys Creek Siltstone|not specified|
16765|Serpentine Creek Sandstone|overlies|27761|Donnellys Creek Siltstone|not specified|
21630|Dead Cattle Gully Ignimbrite|underlies|21683|Doonarlik Ignimbrite|not specified|
21692|Doyle Gully Ignimbrite|overlies|21683|Doonarlik Ignimbrite|not specified|
21202|Bass Camp Ignimbrite|underlies|21688|Douglas Ignimbrite|not specified|
21254|Bimmarn Ignimbrite|overlies|21692|Doyle Gully Ignimbrite|not specified|
21683|Doonarlik Ignimbrite|underlies|21692|Doyle Gully Ignimbrite|not specified|
839|Bacchus Marsh Formation|underlies|5752|Duddo Limestone|not specified|
27389|Dergholm Granite|underlies|5752|Duddo Limestone|not specified|
37242|Ferres Creek Tonalite|underlies|5752|Duddo Limestone|not specified|
7400|Glenelg River Metamorphic Complex|underlies|5752|Duddo Limestone|nonconformity|
41195|Hypatia Formation|underlies|5752|Duddo Limestone|not specified|
41179|Nangeela Formation|underlies|5752|Duddo Limestone|not specified|
25474|Shepparton Formation|overlies|5752|Duddo Limestone|not specified|
19858|Whalers Bluff Formation|overlies|5752|Duddo Limestone|not specified|
22248|Malcolm Creek Hyaloclastite|underlies|37551|Eagles Peak Basalt|not specified|
34834|Bingo Munjie Quartz Diorite|underlies|30952|Eight Mile Loop Rhyolite|not specified|
37759|Ludrik Munjie Granite|underlies|30952|Eight Mile Loop Rhyolite|not specified|
30690|Post Office Granite|underlies|30952|Eight Mile Loop Rhyolite|not specified|
19921|Whitelaw Siltstone|underlies|6016|Eildon Sandstone|conformity|
26219|Wilson Creek Shale|overlies|6016|Eildon Sandstone|conformity|
32307|Golden Beach Subgroup|overlies|32290|Emperor Subgroup|unconformity|
17440|Strzelecki Group|underlies|32290|Emperor Subgroup|not specified|
2895|Bullenbalong Suite|underlies|24268|Enano Group|nonconformity|
18080|Thorkidaan Volcanics|underlies|24268|Enano Group|not specified|
27245|Towanga Sandstone|underlies|24268|Enano Group|unconformity|
14553|Olney Formation|underlies|6337|Ettrick Formation||and is in part lateral equivalent
16036|Renmark Group|underlies|6337|Ettrick Formation||and is in part lateral equivalent
77303|Barwon River Conglomerate|underlies|6363|Eumeralla Formation|conformity|and interfingers.
