Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
28264|Lake Surprise Sandstone|underlies|24775|Buchanan Hills beds|unconformity|
10668|Lothari Hill Sandstone|underlies|24775|Buchanan Hills beds|unconformity|
15384|Point Wakefield beds|underlies|24775|Buchanan Hills beds|not specified|
1322|Beasley Knob Member|overlies|2782|Bucket Spring Member|conformity|
26436|Bullo River Sandstone|underlies|2782|Bucket Spring Member|unconformity|
722|Astell Sandstone|underlies|2790|Buckingham Bay Sandstone|unconformity|
11034|Mainoru Formation|underlies|2790|Buckingham Bay Sandstone|not specified|
27545|Raiwalla Shale|overlies|2790|Buckingham Bay Sandstone|not specified|
5379|Depot Creek Sandstone|overlies|24201|Buckshee Breccia|not specified|
25441|Reynolds River Granite|underlies|24201|Buckshee Breccia|not specified|
15114|Peters Creek Volcanics|overlies|2809|Buddawadda Basalt Member|not specified|
20288|Wire Creek Sandstone|underlies|2809|Buddawadda Basalt Member|not specified|
37730|Bowgan Sandstone|overlies|37731|Buddycurrawa Volcanics|unknown|
37732|Breakfast Sandstone|underlies|37731|Buddycurrawa Volcanics|conformity|
37729|Crow Formation|overlies|37731|Buddycurrawa Volcanics|unknown|
37738|Accident Subgroup|underlies|2840|Bukalara Sandstone|unconformity|
24636|Cox Formation|overlies|2840|Bukalara Sandstone|not specified|
27754|Crawford Formation|underlies|2840|Bukalara Sandstone|unconformity|
33173|Echo Sandstone|underlies|2840|Bukalara Sandstone|not specified|
10424|Limmen Sandstone|underlies|2840|Bukalara Sandstone|unconformity|
11034|Mainoru Formation|underlies|2840|Bukalara Sandstone|unconformity|
11995|Mittiebah Sandstone|underlies|2840|Bukalara Sandstone|unconformity|
18426|Top Springs Limestone|overlies|2840|Bukalara Sandstone|unconformity|
3897|Chambers River Formation|overlies|2843|Bukalorkmi Sandstone|conformity|
30268|Kyalla Formation|underlies|2843|Bukalorkmi Sandstone|disconformity|
21509|Coast Range Sandstone|overlies|21356|Bukudal Granite|unconformity|
3284|Cadna-owie Formation|underlies|2891|Bulldog Shale|conformity|
