genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Kitakamithyris,uniplicata,360.700,326.400,26,0,NaN
Krotovia,procidua,345.300,326.400,1,0,NaN
Krotovia,sp.,360.700,326.400,7,0,NaN
Lamnaespina,papilionata,295.000,290.100,19,0,NaN
Latispirifer,amplissimus,259.000,254.000,7,6,0.3132
Latispirifer,callytharrensis,295.000,290.100,8,4,0.3883
Leptaena,sp.,339.400,336.000,1,0,NaN
Leptagonia,analoga,360.700,326.400,47,1,0.0617
Leptodus,nobilis,259.000,254.000,3,2,0.7746
Lethamia,condaminensis,265.000,259.000,3,0,NaN
Lethamia,hillae,279.500,272.500,4,3,0.0263
Lethamia,obscurus,295.000,290.100,1,1,0.3333
Lethamia,rara,290.100,279.500,2,0,NaN
Levipustula,levis,345.300,306.950,49,0,NaN
Lialosia,kimberleyensis,290.100,272.500,10,8,0.4772
Licharewia,bootiensis,326.400,318.100,4,0,NaN
Licharewia,phalaena,268.000,265.000,2,0,NaN
Licharewia,sp.,290.100,279.500,1,0,NaN
Lingula,ovata,268.000,265.000,1,0,NaN
Lingula,sp.,360.700,247.200,2,0,NaN
Linoproductus,kerripitensis,326.400,318.100,1,0,NaN
Linoproductus,rawdonvalensis,326.400,318.100,1,0,NaN
Linoproductus,sp.,295.000,290.100,1,1,0.2000
Lipanteris,anotos,290.100,279.500,7,2,1.0000
Lipanteris,cracowensis,290.100,279.500,15,9,0.1202
Lipanteris,sp.,290.100,279.500,3,3,0.0702
Lipanteris,sparsispinosus,290.100,279.500,7,7,0.0654
Liriplica,alta,326.400,306.950,4,0,NaN
Lissochonetes,montinis,326.400,314.600,3,0,NaN
Liveringia,magnifica,265.000,254.000,4,3,0.4409
Lyonia,lyoni,295.000,290.100,1,1,1.0000
Magniplicatina,magniplica,290.100,259.000,48,7,0.2305
Magniplicatina,perflecta,279.500,268.000,22,4,0.0550
Magniplicatina,sp.,279.500,259.000,2,1,0.5000
Magniplicatina,superba,279.500,272.500,4,4,0.0978
Magniplicatina,transversa,290.100,279.500,15,0,NaN
Magniplicatina,undulata,290.100,279.500,28,5,0.0227
Maorielasma,callosum,268.000,259.000,18,2,0.4472
Maorielasma,imperatum,268.000,259.000,14,3,0.0817
Maorielasma,inflata,290.100,279.500,3,2,0.0397
Maorielasma,sp.,290.100,265.000,2,0,NaN
Marginatia,patersonensis,360.700,326.400,20,0,NaN
Marginatia,sp.,360.700,345.300,1,0,NaN
Marginicinctus,reticulatus,345.300,326.400,1,0,NaN
Marginicinctus,sp.,345.300,326.400,17,0,NaN
Marginirugus,barringtonensis,336.000,326.400,15,0,NaN
Marinurnula,mantuanensis,272.500,259.000,19,7,0.0399
Marinurnula,prima,290.100,279.500,1,1,0.0065
Marinurnula,sp.,279.500,272.500,1,0,NaN
Martinia,glabra,268.000,265.000,1,0,NaN
Martinia,sp.,295.000,279.500,2,0,NaN
Martinia,"sp. A",265.000,259.000,3,0,NaN
Martinia,"sp. B",279.500,259.000,2,0,NaN
Martiniopsis,sp.,290.100,279.500,1,0,NaN
Martiniopsis,"sp. nov. A",279.500,272.500,1,0,NaN
Martiniopsis,"sp. nov. B",279.500,272.500,1,0,NaN
Martiniopsis,"sp. nov. C",279.500,272.500,1,0,NaN
Megachonetes,sp.,360.700,326.400,5,0,NaN
Megasteges,randsi,290.100,279.500,13,5,0.2389
Megasteges,septentrionalis,259.000,254.000,4,0,NaN
Megousia,crenulata,279.500,272.500,1,0,NaN
Megousia,solita,290.100,272.500,23,6,0.4224
Megousia,sp.,290.100,279.500,1,0,NaN
Merista,sp.,360.700,353.800,1,0,NaN
Mesopunctia,macropustulosus,268.000,259.000,21,20,0.0236
Mingenewia,anomala,290.100,272.500,3,2,0.6124
Misolia,sp.,221.500,201.600,1,0,NaN
