**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
CH/f0464		Outcrop						Keyes, I.W.; 		Bortonian	?			42.6	39.1		GNS GS 12148		
CH/f0464		Outcrop						Beu, A.G.; 	1991	Bortonian		Kaiatan		42.6	36.4	ADOPTED AGE.	GNS GS 12148	REFER NZGS BULL. 105 (1991).	
CH/f0468		Outcrop								Dannevirke Series				66.0	42.6		GNS GS 12156	NO LIST.	
CH/f0468		Outcrop						Lee, D.E.; 	1991	Teurian		Waipawan		66.0	53.7		GNS GS 12156	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0468		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7		GNS GS 12156	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0474		Outcrop						Beu, A.G.; 		Dannevirke Series				66.0	42.6		GNS GS 12166	NO LIST.	
CH/f0474		Outcrop						Lee, D.; 	1991	Teurian		Waipawan		66.0	53.7	LATE Dt - EARLY Dw.	GNS GS 12166	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0474		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	LATE Dt - EARLY Dw.	GNS GS 12166	DET. PUBLISHED NZGS BULL. 105 (1991).	
CH/f0483		Outcrop															GNS GS 12179	NO LIST.	
CH/f0483		Outcrop							1991	Whaingaroan				34.6	27.3	ADOPTED AGE.	GNS GS 12179	REFER NZGS BULL. 105 (1991).	
CH/f0487		Outcrop						Beu, A.G.; 	March 9, 1982	Opoitian				5.3	3.7	PRESUMABLY Wo, FROM OVERLYING AGE, BUT NOT CHECKED BY BEU; SEE FORAMS.	GNS GS 12185	INTERESTING RECORD OF GASTROPODS LACKING FROM ALL THE OVERLYING BEDS AT MOMOE-A-TOA.	
CH/f0487		Outcrop						Beu, A.G.; 	1991	Opoitian				5.3	3.7	EARLY Wo - ADOPTED AGE.	GNS GS 12185	REFER NZGS BULL. 105 (1991).	
CH/f0489		Outcrop						Beu, A.G.; 		Dannevirke Series				66.0	42.6		GNS GS 12188	NO LIST.	
CH/f0489		Outcrop						Beu, A.G.; 	1991	Waipawan				56.0	53.7	ADOPTED AGE.	GNS GS 12188	REFER NZGS BULL. 105 (1991).	
CH/f0490		Outcrop								Opoitian				5.3	3.7		GNS GS 12189	NO LIST.	
CH/f0490		Outcrop						Beu, A.G.; 	1991	Opoitian				5.3	3.7	ADOPTED AGE.	GNS GS 12189	REFER NZGS BULL. 105 (1991).	
CH/f0491		Outcrop						Buckeridge, J.; 	1979								GNS GS 12190	Ph. D. THESIS 1979.	
CH/f0491		Outcrop							1991	Opoitian		Mangapanian		5.3	2.4	LATE Wo-Wm - ADOPTED AGE.	GNS GS 12190	REFER NZGS BULL. 105 (1991).	
CH/f0493		Outcrop															GNS GS 12192	NO LIST.	
CH/f0493		Outcrop							1991	Waipawan		Whaingaroan		56.0	27.3	ADOPTED AGE.	GNS GS 12192	REFER NZGS BULL. 105 (1991).	
CH/f0494		Outcrop						Beu, A.G.; 		Dannevirke Series				66.0	42.6		GNS GS 12193	NO LIST.	
CH/f0494		Outcrop						Beu, A.G.; 	1991	Haumurian		Teurian		83.6	56.0	ADOPTED AGE.	GNS GS 12193	REFER NZGS BULL. 105 (1991).	
CH/f0526		Outcrop						Scott, G.H.; 	March 4, 1983	Altonian				18.7	15.9	NO ORBULINA. EARLY RECORD OF FOHSELLA PERIPHERORONDA ?Pl - ABOUT MID TO UPPER.	GNS F 23484	SLIDE (H.E.G. MORGANS). OSTRACODS. FISH TEETH. GS12998.	
CH/f0526		Outcrop						Buckeridge, J.S.; 	March 4, 1983	Altonian				18.7	15.9		GNS GS 12998	DET. PUBLISHED JRSNZ 1984 14 (4): 319-326 - HOLOTYPE AR1116 AND 14 PARATYPES AR1117-1130; NZGS BULL. 105 (1991).	
CH/f0526		Outcrop						Fordyce, R.E.; 	March 4, 1983	Altonian				18.7	15.9		GNS GS 12998		
CH/f0526		Outcrop						Keyes, I.W.; 	March 4, 1983	Altonian				18.7	15.9		GNS GS 12998	DET. PUBLISHED NZJGG 25: 459-474, FIG. 12 - CD65 (KEYES 1982).	
CH/f0526		Outcrop						Lee, D.; 	March 4, 1983	Altonian				18.7	15.9		GNS GS 12998	DET. PUBLISHED NZGS BULL. 105.	
CH/f0526		Outcrop						Maxwell, P.A.; 	March 4, 1983	Altonian				18.7	15.9		GNS GS 12998	DET. PUBLISHED NZGS BULL. 105.	
CH/f0526		Outcrop						Edwards, A.R.; 	April 4, 1983	Runangan		Waitakian		36.0	21.7	PROBABLY Lwh - LOWER Lw, DEFINITELY NO YOUNGER THAN LOWER Lw.	GNS N 1784	EXCEEDINGLY RARE, VERY HEAVILY OVERGROWN NANNOFOSSILS IN CALCITIC DEBRIS (BRYOZOAN?) MATRIX. ROCK AND SLIDE CURATED.	
CH/f0526		Outcrop						Maxwell, P.A.; 	1991	Altonian				18.7	15.9	ADOPTED AGE.	GNS GS 12998	REFER NZGS BULL. 105 (1991).	
CH/f0529		Outcrop								Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 12999	NO LIST.	
CH/f0529		Outcrop						Keyes, I.W.; 		Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 12999		
CH/f0529		Outcrop						Hornibrook, N. de B.; 	April 13, 1981	Teurian				66.0	56.0		GNS F 22149	ON SLIDE. COMPARE CH/f113.	
CH/f0529		Outcrop						Edwards, A.R.; 	April 13, 1981	no fossils				999.9	0.0	ROCK, RESIDUE, SLIDE DISCARDED.	GNS F 		
CH/f0529		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 12999	REFER NZGS BULL. 105 (1991).	
CH/f0530		Outcrop						Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 13000	REFER NZGS BULL. 105 (1991).	
CH/f0531		Outcrop						Keyes, I.W.; 		Haumurian		Teurian		83.6	56.0	ADOPTED AGE.	GNS GS 13001		
CH/f0531		Outcrop						Keyes, I.W.; 	1991	Haumurian		Teurian		83.6	56.0	ADOPTED AGE.	GNS GS 13001	REFER NZGS BULL. 105 (1991).	
CH/f0532		Outcrop						Beu, A.G.; 	March 9, 1982	Haweran				0.34	0.0	OWENGA SHELLY SAND.	GNS GS 12254	DET. PUBLISHED NZGS BULL 105 (1991).	
CH/f0532		Outcrop						Beu, A.G.; 	1991	Haweran				0.34	0.0	ADOPTED AGE.	GNS GS 12254	REFER NZGS BULL. 105 (1991).	
CH/f0534		Outcrop						Beu, A.G.; 	February 12, 1982	Nukumaruan				2.4	1.63		GNS GS 13190		
CH/f0534		Outcrop						Beu, A.G.; 	1991	Nukumaruan				2.4	1.63	ADOPTED AGE.	GNS GS 13190	REFER NZGS BULL. 105 (1991).	
CH/f0590		Drillhole	CHA43	9.66	11.16	m		Hornibrook, N. de B.; 	March 2, 1987	Haumurian		Modern		83.6	0.0		GNS F 25831	Abundant spherical Radiolaria, Echinoderm spines & sponge spicules. Also "Globigerapsis index" mimick - glauconite filled Radiolaria.	
CH/f0590		Drillhole	CHA43						1991	Waipawan				56.0	53.7	ADOPTED AGE.	GNS GS 14157	REFER NZGS BULL. 105 (1991).	
CH/f0591		Drillhole	CHA40	15.84	16.14	m											GNS GS 14158	NO LIST.	
CH/f0591		Drillhole	CHA40	15.84	16.14	m		Raine, J.I.; 	November 12, 1986	not determined				999.9	0.0	Quaternary?.	GNS L 12980	Abundant pale semi-amorphous "blobs", possibly algal in origin, plus degraded spores. Thermal alteration very slight.	
CH/f0591		Drillhole	CHA40	15.84	16.14	m		Hornibrook, N. de B.; 	March 2, 1987	no fossils				999.9	0.0		GNS F 25832		
CH/f0592		Drillhole	CHA65R	13.89	15.38	m		Hornibrook, N. de B.; 	March 2, 1987	no fossils				999.9	0.0		GNS F 25833		
CH/f0592		Drillhole	CHA65R	13.89	15.38	m			1991	Waipawan				56.0	53.7	ADOPTED AGE.	GNS GS 14159	REFER NZGS BULL. 105 (1991).	
