taxon_name	int_midpoint	taxon	sub	size
Psammacoma	3.09	Biv	Het	77.08
Psammobia	3.09	Biv	Het	85
Psammotreta	3.09	Biv	Het	27.86
Pseudamussium	3.09	Biv	nonHet	62
Pseudarcopagia	3.09	Biv	Het	58.24
Pseudochama	3.09	Biv	Het	90
Pteria	3.09	Biv	nonHet	322
Punipagia	3.09	Biv	Het	21.2
Pycnodonte	3.09	Biv	nonHet	138
Pygocardia	3.09	Biv	nonHet	60.16
Pythinella	3.09	Biv	Het	3.54159292
Quadrans	3.09	Biv	Het	33.41
Raeta	3.09	Biv	Het	130
Rangia	3.09	Biv	Het	78
Rasia	3.09	Biv	nonHet	52
Rexithaerus	3.09	Biv	Het	69.62
Rocellaria	3.09	Biv	nonHet	34.2
Saccella	3.09	Biv	nonHet	43
Saccostrea	3.09	Biv	nonHet	255
Scacchia	3.09	Biv	Het	6.2
Scaeoleda	3.09	Biv	nonHet	25.91538462
Scambula	3.09	Biv	nonHet	12.145
Scapharca	3.09	Biv	nonHet	150
Scissodesma	3.09	Biv	nonHet	113
Scissula	3.09	Biv	Het	14.87
Semelangulus	3.09	Biv	Het	27.31
Semele	3.09	Biv	nonHet	119.2
Semelina	3.09	Biv	nonHet	9.39
Semierycina	3.09	Biv	Het	2.34137931
Serracorbula	3.09	Biv	Het	12.73181818
Serratovola	3.09	Biv	nonHet	46.5
Serripes	3.09	Biv	nonHet	137
Sheldonella	3.09	Biv	nonHet	43.1
Similipecten	3.09	Biv	nonHet	32.5
Solecurtus	3.09	Biv	nonHet	100
Solen	3.09	Biv	nonHet	184.8
Soletellina	3.09	Biv	Het	123
Spathochlamys	3.09	Biv	nonHet	28.1
Sphenia	3.09	Biv	Het	30.1
Spisula	3.09	Biv	Het	130
Spondylus	3.09	Biv	nonHet	400
Sportella	3.09	Biv	Het	20.835
Standella	3.09	Biv	Het	80
Stralopecten	3.09	Biv	nonHet	101.9
Striacallista	3.09	Biv	nonHet	36
Striarca	3.09	Biv	nonHet	20.27
Strigilla	3.09	Biv	Het	17.63
Striostrea	3.09	Biv	nonHet	250
Sulcilioconcha	3.09	Biv	nonHet	27.7
Swiftopecten	3.09	Biv	nonHet	133
Tagelus	3.09	Biv	Het	150
Talochlamys	3.09	Biv	nonHet	76.2
Tegillarca	3.09	Biv	nonHet	88
Tellidora	3.09	Biv	nonHet	36.19
Tellidorella	3.09	Biv	nonHet	5.6
Tellimya	3.09	Biv	nonHet	7.5075
Tellina	3.09	Biv	Het	70.95714286
Tellinella	3.09	Biv	Het	60.12
Teredo	3.09	Biv	Het	5.861666667
Theora	3.09	Biv	Het	26.2
Thracia	3.09	Biv	nonHet	120
Thyasira	3.09	Biv	Het	16.21
Tindaria	3.09	Biv	nonHet	15
Tindariopsis	3.09	Biv	nonHet	26.3
Tivela	3.09	Biv	Het	176
Tosarca	3.09	Biv	nonHet	74.5
Trachycardium	3.09	Biv	Het	95.3
Transennella	3.09	Biv	nonHet	46
Tresus	3.09	Biv	nonHet	280
Trigoniocardia	3.09	Biv	Het	17.8
Trigonulina	3.09	Biv	nonHet	8
Trisidos	3.09	Biv	nonHet	132.3
Truncacila	3.09	Biv	nonHet	23
Tucetona	3.09	Biv	nonHet	118
Undulostrea	3.09	Biv	nonHet	100.6
Varicorbula	3.09	Biv	Het	15
Vasticardium	3.09	Biv	nonHet	141
Venericardia	3.09	Biv	Het	45.25
Ventricolaria	3.09	Biv	Het	60.22
Ventricoloidea	3.09	Biv	nonHet	59.6
Venus	3.09	Biv	Het	72
Verticordia	3.09	Biv	nonHet	36
Vulsella	3.09	Biv	nonHet	121
Xylophaga	3.09	Biv	Het	28
Yabepecten	3.09	Biv	nonHet	43.27777778
Yoldia	3.09	Biv	nonHet	60
Yoldiella	3.09	Biv	nonHet	18
Zemysina	3.09	Biv	Het	5.63
Zenatia	3.09	Biv	Het	101
Zirfaea	3.09	Biv	Het	143
Abra	4.47	Biv	Het	38
Acanthocardia	4.47	Biv	Het	102.5
Acar	4.47	Biv	nonHet	43
Acesta	4.47	Biv	nonHet	185
Acharax	4.47	Biv	nonHet	240
Acila	4.47	Biv	nonHet	50
Acrosterigma	4.47	Biv	Het	128
Adrana	4.47	Biv	nonHet	107
Aequipecten	4.47	Biv	nonHet	101.3
Agerostrea	4.47	Biv	nonHet	45.77333333
Agriopoma	4.47	Biv	nonHet	76
Aligena	4.47	Biv	Het	8.92
Americardia	4.47	Biv	Het	60
Amiantis	4.47	Biv	Het	122.4
Amusium	4.47	Biv	nonHet	140
Amussiopecten	4.47	Biv	nonHet	94.12
Anadara	4.47	Biv	nonHet	152.1
Anisocorbula	4.47	Biv	Het	40.52
Anodontia	4.47	Biv	Het	33.76153846
Anomia	4.47	Biv	nonHet	93
Antigona	4.47	Biv	nonHet	125
Apiocardia	4.47	Biv	nonHet	23
Apolymetis	4.47	Biv	nonHet	51.18
Arca	4.47	Biv	nonHet	128
Arcinella	4.47	Biv	nonHet	81.4
Arcopagia	4.47	Biv	Het	45.46
Arcoperna	4.47	Biv	nonHet	23.15
Arcopsis	4.47	Biv	nonHet	19.5
Arctica	4.47	Biv	nonHet	140
Arenomya	4.47	Biv	Het	150
Argopecten	4.47	Biv	nonHet	159.3
Asa	4.47	Biv	nonHet	87
