taxon_name	taxon	sub	size	int_midpoint
Gloripallium	Biv	nonHet	108.6	3.09
Glossus	Biv	Het	100	3.09
Glycymeris	Biv	nonHet	115	3.09
Gobraeus	Biv	Het	148.6	3.09
Gonimyrtea	Biv	nonHet	9.0525	3.09
Goodallia	Biv	Het	3.4	3.09
Gouldia	Biv	Het	180	3.09
Haliris	Biv	nonHet	13	3.09
Halonympha	Biv	nonHet	18.7	3.09
Haumea	Biv	nonHet	40.3	3.09
Hawaiarca	Biv	nonHet	26.2	3.09
Hemidonax	Biv	nonHet	47.8	3.09
Hemimactra	Biv	Het	226	3.09
Hemimetis	Biv	Het	56.5	3.09
Heteranomia	Biv	nonHet	22	3.09
Heteromacoma	Biv	Het	57.48	3.09
Hexacorbula	Biv	Het	24	3.09
Hiatella	Biv	Het	59.7	3.09
Hinnites	Biv	nonHet	180	3.09
Humilaria	Biv	nonHet	95	3.09
Hybolophus	Biv	Het	57.08571429	3.09
Hyotissa	Biv	nonHet	271	3.09
Hyphantosoma	Biv	nonHet	87.1	3.09
Hysteroconcha	Biv	nonHet	100	3.09
Ischadium	Biv	nonHet	68.9	3.09
Isocrassina	Biv	Het	24.04166667	3.09
Isognomon	Biv	nonHet	253.5	3.09
Jouannetia	Biv	Het	50.9	3.09
Juliacorbula	Biv	nonHet	19	3.09
Jupiteria	Biv	nonHet	17.5	3.09
Juxtamusium	Biv	nonHet	35	3.09
Keenocardium	Biv	nonHet	76	3.09
Kellia	Biv	nonHet	9.5825	3.09
Kelliella	Biv	nonHet	15	3.09
Kuphus	Biv	Het	505	3.09
Laevicardium	Biv	Het	190	3.09
Laevichlamys	Biv	nonHet	96.4	3.09
Lamelliconcha	Biv	nonHet	58.6	3.09
Lamellinucula	Biv	nonHet	35	3.09
Larkinia	Biv	nonHet	156	3.09
Lasaea	Biv	nonHet	3.304	3.09
Lentidium	Biv	Het	10	3.09
Leporimetis	Biv	Het	63.16	3.09
Lepton	Biv	Het	8.9875	3.09
Leptopecten	Biv	nonHet	71	3.09
Leukoma	Biv	nonHet	107.7	3.09
Lima	Biv	nonHet	158	3.09
Limaria	Biv	nonHet	58.4	3.09
Limatula	Biv	nonHet	40.96	3.09
Limatulella	Biv	nonHet	20.37142857	3.09
Limea	Biv	nonHet	5.3	3.09
Limopsis	Biv	nonHet	33.67	3.09
Lindapecten	Biv	nonHet	100.7	3.09
Linga	Biv	Het	20.30555556	3.09
Linucula	Biv	nonHet	7	3.09
Lioconcha	Biv	nonHet	58.7	3.09
Lirophora	Biv	nonHet	58	3.09
Lissarca	Biv	nonHet	8	3.09
Lithophaga	Biv	nonHet	147	3.09
Lopha	Biv	nonHet	110	3.09
Lophocardium	Biv	Het	57.1	3.09
Loripes	Biv	nonHet	12.95416667	3.09
Lucina	Biv	Het	54.7125	3.09
Lucinella	Biv	nonHet	8.81	3.09
Lucinisca	Biv	Het	13.84	3.09
Lunarca	Biv	nonHet	76	3.09
